Date,Oil (bbl),Gas (Mcf),Water (bbl)
2026-08-01,820,4200,310
2026-08-02,795,4350,325
2026-08-03,840,4280,300
2026-08-04,815,4450,315
2026-08-05,860,4520,335
2026-08-06,835,4380,320
2026-08-07,805,4300,305
2026-08-08,875,4650,340
2026-08-09,850,4580,330
2026-08-10,830,4420,318
2026-08-11,890,4700,350
2026-08-12,845,4550,325
2026-08-13,865,4620,345
2026-08-14,810,4250,310
2026-08-15,855,4500,335
2026-08-16,900,4800,360
2026-08-17,875,4720,342
2026-08-18,840,4480,325
2026-08-19,820,4400,315
2026-08-20,885,4680,350
2026-08-21,860,4600,330
2026-08-22,910,4900,365
2026-08-23,895,4820,355
2026-08-24,850,4550,338
2026-08-25,830,4450,320
2026-08-26,870,4700,345
2026-08-27,920,4950,370
2026-08-28,900,4880,360
2026-08-29,865,4650,340
2026-08-30,845,4520,325
2026-08-31,880,4750,350
