Time_s,Amplitude
0.0,0.04
0.002,0.12
0.004,0.18
0.006,0.1
0.008,-0.05
0.01,-0.14
0.012,-0.09
0.014,0.06
0.016,0.15
0.018,0.08
0.02,-0.03
0.022,-0.11
0.024,-0.07
0.026,0.09
0.028,0.16
0.03,0.11
0.032,-0.02
0.034,-0.13
0.036,-0.08
0.038,0.05
0.04,0.14
0.042,0.07
0.044,-0.04
0.046,-0.12
0.048,-0.06
0.05,0.08
0.052,0.17
0.054,0.09
0.056,-0.01
0.058,-0.1
0.06,-0.06
0.062,0.07
0.064,0.13
0.066,0.08
0.068,-0.03
0.07,-0.15
0.072,-0.08
0.074,0.06
0.076,0.16
0.078,0.1
0.08,-0.02
0.082,-0.12
0.084,-0.07
0.086,0.05
0.088,0.14
0.09,0.09
0.092,-0.04
0.094,-0.13
0.096,-0.08
0.098,0.06
0.1,0.15
0.102,0.11
0.104,-0.02
0.106,-0.1
0.108,-0.06
0.11,0.08
0.112,0.16
0.114,0.09
0.116,-0.03
0.118,-0.12
0.12,-0.07
0.122,0.05
0.124,0.14
0.126,0.08
0.128,-0.04
0.13,-0.11
0.132,-0.06
0.134,0.07
0.136,0.15
0.138,0.1
0.14,-0.02
0.142,-0.13
0.144,-0.08
0.146,0.06
0.148,0.17
0.15,0.09
0.152,-0.01
0.154,-0.12
0.156,-0.07
0.158,0.08
0.16,0.15
0.162,0.1
0.164,-0.03
0.166,-0.14
0.168,-0.08
0.17,0.06
0.172,0.16
0.174,0.11
0.176,-0.02
0.178,-0.11
0.18,-0.07
0.182,0.05
0.184,0.14
0.186,0.09
0.188,-0.04
0.19,-0.12
0.192,-0.06
0.194,0.07
0.196,0.15
0.198,0.1
