Date,Expense Category,Description,Amount
7/1/2026,Housing,Monthly rent payment,1200
7/2/2026,Groceries,Weekly grocery shopping,85.4
7/3/2026,Transportation,Gas station fill-up,45
7/5/2026,Utilities,Electricity bill,72.15
7/6/2026,Dining,Lunch with colleagues,18.5
7/8/2026,Entertainment,Movie tickets,24
7/10/2026,Groceries,Weekly grocery shopping,92.1
7/12/2026,Health,Pharmacy prescription,15.75
7/14/2026,Transportation,Bus pass renewal,60
7/15/2026,Utilities,Internet bill,55.99
7/17/2026,Dining,Coffee shop,6.25
7/18/2026,Shopping,New shoes,79.99
7/20/2026,Groceries,Weekly grocery shopping,88.3
7/22/2026,Entertainment,Streaming subscription,12.99
7/25/2026,Housing,Renters insurance,22
7/27/2026,Transportation,Gas station fill-up,42.5
7/28/2026,Health,Gym membership,35
7/30/2026,Dining,Dinner with friends,54.2
8/1/2026,Housing,Monthly rent payment,1200
8/3/2026,Groceries,Weekly grocery shopping,90.75
