Date,Temperature,Humidity,Rainfall
2026-01-01,31,72,0
2026-01-02,29,80,5
2026-01-03,33,68,0
2026-01-04,30,75,2
2026-01-05,28,82,8
2026-01-06,32,70,0
2026-01-07,34,65,0
2026-01-08,27,88,12
2026-01-09,30,77,3
2026-01-10,35,61,0
2026-01-11,33,69,0
2026-01-12,26,90,15
2026-01-13,29,84,7
2026-01-14,31,73,1
2026-01-15,36,60,0
2026-01-16,34,64,0
2026-01-17,28,86,10
2026-01-18,30,79,4
2026-01-19,32,71,0
2026-01-20,37,58,0
2026-01-21,35,62,0
2026-01-22,29,83,9
2026-01-23,31,76,2
2026-01-24,33,67,0
2026-01-25,27,89,14
2026-01-26,30,78,5
2026-01-27,34,66,0
2026-01-28,36,59,0
2026-01-29,28,85,11
2026-01-30,32,72,1
