Depth,Gamma Ray (GR),Resistivity,Density,Porosity
1000,50,4,2.3,14.0
1005,55,7,2.3299999999999996,14.8
1010,60,10,2.36,15.6
1015,65,13,2.3899999999999997,16.4
1020,70,16,2.42,17.2
1025,75,19,2.4499999999999997,18.0
1030,95,22,2.3,18.8
1035,100,25,2.3299999999999996,19.6
1040,105,4,2.36,14.0
1045,65,7,2.3899999999999997,14.8
1050,55,35,2.42,15.6
1055,60,38,2.4499999999999997,16.4
1060,65,41,2.3,17.2
1065,70,44,2.3299999999999996,18.0
1070,75,47,2.36,18.8
1075,80,25,2.3899999999999997,19.6
1080,85,4,2.42,14.0
1085,90,7,2.4499999999999997,14.8
1090,50,10,2.3,15.6
1095,55,13,2.3299999999999996,16.4
1100,60,16,2.36,17.2
