DEPTH,GR,RES,NPHI,RHOB
8112.0,61.53,22.19,0.087,2.385
8048.5,27.57,17.47,0.246,2.59
8039.5,29.22,26.71,0.2738,2.58
8093.0,63.32,23.6,0.1246,2.54
8189.0,87.44,5.75,0.2265,2.343
8013.0,55.66,14.23,0.2314,2.508
8107.0,66.93,28.25,0.0935,2.419
8165.0,35.11,23.88,0.1891,2.309
8144.5,5.28,22.72,0.0991,2.348
8092.5,64.38,25.69,0.0731,2.512
8027.5,73.82,22.25,0.2278,2.524
8044.0,30.78,26.17,0.2599,2.562
8029.5,71.74,21.32,0.2552,2.565
8119.0,48.49,7.39,0.0547,2.401
8125.5,47.0,8.53,0.063,2.412
8145.0,8.47,20.58,0.1034,2.293
8059.5,16.87,10.42,0.2225,2.591
8133.5,11.3,17.46,0.0931,2.347
8068.5,10.26,9.6,0.2026,2.573
8101.5,450.0,27.67,0.057,2.485
8025.5,65.14,27.02,0.2242,2.579
8080.0,24.25,21.14,0.1562,2.55
8198.5,72.0,17.07,0.2605,2.466
8195.5,69.32,12.94,0.2233,2.303
8015.0,62.29,5000.0,,2.499
8149.5,15.93,23.16,0.1285,2.321
8163.5,38.24,24.89,0.1619,2.349
8058.5,2.12,6.22,0.2252,2.588
8158.0,26.44,25.3,0.2033,2.346
8071.5,17.84,17.89,0.1751,2.611
8114.0,,15.94,0.0633,2.401
8007.0,41.27,12.87,0.1983,2.472
8086.0,44.84,24.39,0.1366,2.488
8109.5,68.52,19.94,0.0636,2.443
8192.5,69.52,12.69,0.2679,2.4
8142.5,-4.44,22.29,0.1047,2.341
8025.0,71.17,23.81,0.2218,2.562
8103.5,74.03,19.05,0.0781,2.499
8072.5,24.08,12.07,0.1518,2.528
8081.5,28.79,20.22,0.1516,2.516
8183.5,-68.38,14.81,0.2492,2.362
8180.0,68.86,11.1,0.1805,2.335
8032.0,66.63,24.65,0.2336,2.578
8063.5,5.53,5.97,0.2136,2.587
8055.0,-0.49,13.32,0.2244,2.599
8182.0,72.5,14.4,0.2554,2.364
8044.5,38.02,23.45,0.2699,2.531
8054.0,18.22,13.57,0.2457,2.632
8014.0,61.26,21.09,0.1948,2.54
8020.5,71.36,22.02,0.2368,2.531
8001.5,55.56,6.64,0.1468,2.473
8011.0,62.62,14.73,0.2387,2.518
8183.0,69.68,9.88,0.2647,2.347
8140.0,14.15,20.57,0.081,2.34
8129.0,35.42,9.23,0.0713,2.388
8123.0,41.47,-0.74,0.0655,2.355
8112.5,73.39,15.48,0.0607,2.355
8028.0,59.1,24.4,0.2235,2.612
8128.0,44.2,7.69,0.0582,2.375
8088.0,49.92,24.81,0.1032,2.501
8164.5,39.13,21.15,0.1874,2.271
8120.5,49.78,14.82,0.0415,2.416
8057.0,11.15,8.88,0.2236,2.599
8077.5,21.07,17.3,0.1757,2.481
8050.0,11.3,19.65,0.2481,2.58
8104.5,100.82,26.79,0.0526,2.442
8152.0,12.6,19.78,0.1535,2.296
8145.5,6.1,25.42,0.1059,2.385
8056.5,32.88,8.37,0.2584,2.615
8114.5,67.28,18.63,0.0303,2.397
8084.0,39.01,16.92,0.1267,2.523
8184.5,62.77,13.95,0.2569,2.334
8117.5,61.77,7.7,0.0815,2.401
8147.0,12.9,24.47,0.1268,2.353
8116.0,59.76,13.56,0.0582,2.425
8167.5,39.65,23.55,0.2113,2.26
8065.0,-1.95,9.24,0.1899,2.635
8029.0,67.25,23.2,0.2308,2.544
8068.0,6.11,7.69,0.1699,2.565
8036.5,64.12,28.43,0.2348,2.574
8039.0,46.97,32.78,0.2497,2.594
8075.0,23.99,16.84,0.1585,2.531
8143.0,9.67,19.75,0.1184,2.27
8040.0,42.25,22.76,0.3005,2.594
8025.0,71.17,23.81,0.2218,2.562
8132.0,23.6,9.41,0.0592,2.322
8075.5,25.67,16.52,0.1684,2.511
8169.5,40.8,24.06,0.2132,2.225
8100.5,73.17,21.19,0.0909,2.484
8166.0,38.05,24.08,0.2188,2.316
8026.0,62.4,21.33,0.2236,2.496
8176.0,65.41,13.41,0.2072,2.298
8069.5,4.02,9.98,0.1734,2.585
8179.5,57.43,15.39,0.2227,2.326
8184.0,69.42,7.13,0.2508,2.301
8073.0,8.7,16.63,0.1408,2.495
8137.0,9.1,11.8,0.0989,2.302
8095.5,70.3,23.51,0.0457,2.47
8032.5,70.13,24.3,0.2387,2.532
8085.5,37.82,28.24,0.1081,2.582
8150.0,4.56,22.32,0.1435,2.326
8181.0,65.04,19.58,0.205,2.266
8191.0,52.26,9.11,0.2665,2.343
8041.5,36.49,23.07,0.2704,2.621
8126.5,45.67,2.83,0.0616,2.436
8164.0,37.99,22.05,0.1776,2.289
8049.0,24.55,15.03,0.2665,2.607
8016.0,67.89,18.57,0.1898,2.517
8118.0,39.55,14.67,0.0255,2.383
8007.5,51.54,10.1,0.1499,2.521
8127.5,31.3,7.33,0.0445,2.301
8100.0,71.19,26.38,0.1017,2.439
8116.5,53.31,12.3,0.063,2.379
8042.5,34.37,17.68,0.286,2.554
8018.5,53.84,16.86,0.1976,2.513
8001.0,47.44,6.02,,2.458
8030.5,61.02,25.09,0.2137,2.571
8167.0,47.5,25.47,0.1853,2.293
8132.5,14.65,12.34,0.0451,2.356
8152.5,14.2,26.38,0.1125,2.288
8102.0,58.47,24.66,0.0827,2.491
8076.5,26.66,18.54,0.1863,2.585
8036.0,52.35,19.91,0.2216,2.55
8166.5,33.16,17.52,0.1974,2.302
8051.5,13.56,17.31,0.2636,2.577
8151.0,17.88,22.08,0.1692,2.278
8186.0,81.26,8.92,0.2444,2.363
8137.5,19.95,14.11,0.0706,2.344
8008.0,48.87,17.46,0.1869,2.466
8081.0,43.52,23.51,0.1433,2.551
8043.5,38.77,-18.15,0.2413,2.61
8171.5,45.62,,0.2085,2.301
8050.5,18.35,22.19,0.232,2.63
8080.5,39.44,26.81,0.1679,2.566
8034.5,50.46,23.02,0.2885,2.616
8065.5,11.22,2.84,0.2369,2.625
8199.0,59.44,15.54,0.2537,2.407
8197.0,72.86,10.45,0.218,2.326
8069.0,19.84,14.25,0.1915,2.57
8131.0,1.7,10.49,0.0872,2.336
8009.0,51.52,17.26,0.187,2.465
8153.5,9.63,30.01,0.1162,2.329
8010.0,72.22,20.79,0.1787,2.459
8027.0,75.14,22.94,0.2667,2.596
8162.5,20.05,23.61,0.1502,2.335
8169.0,47.5,26.31,0.2093,2.275
8142.0,28.58,16.15,0.1021,2.321
8120.0,45.4,9.29,0.0842,2.402
8177.5,53.07,22.97,0.2443,2.339
8078.5,32.64,17.95,0.1585,2.567
8126.0,55.51,4.85,0.0656,2.367
8048.0,28.85,15.31,0.2405,2.626
8158.5,19.38,25.37,0.1561,2.319
8060.0,16.93,2.67,0.2386,2.598
8056.0,14.18,10.85,0.2331,2.641
8096.0,65.85,26.34,0.08,2.548
8130.5,28.19,8.47,0.0063,2.307
8053.5,18.26,11.28,0.2489,2.6
8087.5,55.36,17.31,0.0763,2.517
8046.5,26.96,16.91,0.2691,2.623
8118.5,56.27,11.95,0.0208,2.437
8061.5,-1.1,7.89,0.1985,2.609
8119.5,59.59,6.9,0.0713,2.406
8192.0,62.6,10.64,0.229,2.39
8045.0,33.59,20.47,0.2637,2.608
8190.5,64.69,3.47,0.2755,2.406
8179.0,65.94,11.17,0.2476,2.377
8187.5,63.84,0.81,0.2388,2.359
8099.0,67.97,23.05,0.0649,2.511
8089.5,74.71,27.92,0.1219,2.57
8165.5,29.15,20.14,0.193,2.252
8012.0,59.19,18.25,0.1874,2.497
8178.5,60.32,,0.2718,2.307
8121.5,55.49,4.33,0.0505,2.338
8062.0,14.73,3.39,0.2348,2.596
8162.0,20.66,2000.0,0.2038,2.291
8038.5,44.94,24.66,0.2544,2.599
8130.0,22.31,7.9,0.0777,2.342
8108.5,66.73,22.13,0.0468,2.44
8147.5,4.59,21.99,0.1124,2.366
8155.0,14.53,25.56,0.1394,2.266
8193.0,70.66,12.44,0.2297,2.386
8140.5,18.05,15.38,0.0826,2.306
8030.0,59.4,30.85,0.2474,2.584
8138.5,10.14,22.51,0.0748,2.334
8046.0,25.03,20.07,0.2676,2.597
8160.5,30.41,19.51,0.189,2.318
8106.5,74.86,17.83,0.0458,2.506
8034.0,59.46,23.23,0.261,2.556
8018.0,70.96,25.58,0.2471,2.578
8020.0,75.84,23.01,0.2209,2.524
8079.0,20.37,20.78,0.1588,2.51
8151.5,17.2,20.1,0.1266,2.302
8005.5,48.33,7.07,0.1631,2.454
8071.0,2.83,14.7,0.192,2.59
8168.5,40.51,24.54,0.1711,2.293
8139.0,14.9,20.45,0.1149,2.294
8161.5,44.41,26.65,0.1463,2.273
8062.5,27.53,-0.24,0.1789,2.534
8109.0,64.38,21.06,0.0494,2.475
8091.0,47.34,26.67,0.0821,2.574
8023.0,65.94,24.38,0.2355,2.547
8117.0,74.77,10.09,0.0404,2.39
8148.5,12.89,19.59,0.0778,2.341
8178.0,61.73,16.11,0.2117,2.357
8087.0,49.87,26.27,0.1071,2.569
8063.0,2.08,0.44,0.1965,2.564
8070.5,25.5,9.26,0.1984,2.578
8003.5,53.94,8.06,0.1544,2.446
8196.5,78.76,9.41,0.2564,2.422
8121.0,53.68,8.55,0.0725,2.384
8173.5,42.56,16.04,0.1836,2.328
8088.5,62.5,26.55,0.0619,2.55
8085.0,36.11,23.05,0.1262,2.528
8146.5,16.8,24.3,0.1113,2.313
8004.0,45.13,9.34,0.1911,2.426
8077.0,28.13,19.17,0.1537,2.543
8013.5,68.49,19.58,0.1911,2.505
8146.0,5.29,18.96,0.123,2.291
8175.0,59.22,14.38,0.1972,2.319
8028.5,62.75,21.69,0.2504,2.576
8101.0,77.66,26.39,0.0723,2.501
8031.5,51.38,25.64,0.2812,2.544
8040.5,45.75,20.06,0.2392,2.586
8197.5,58.95,17.31,0.2586,2.369
8105.0,74.54,24.01,0.0887,2.487
8125.0,30.7,5000.0,0.042,2.372
8074.0,24.41,16.87,0.1664,2.528
8024.0,71.93,22.12,0.2193,2.556
8102.5,62.17,28.85,0.0755,2.436
8122.5,43.7,7.03,0.0697,2.353
8015.5,82.39,12.9,0.1899,2.476
8000.5,40.02,3.7,0.1417,2.439
8084.5,36.07,21.71,0.0969,2.508
